name,lastname1,lastname2,fullname,job_title,country,skills,university,company
Vicki,Parker,Aanstoot,Vicki Parker Aanstoot,Cloud Architect,United States,Network Security; Ethical Hacking; SQL; Python,Massachusetts Institute of Technology,TechPro Inc.
Encarnacin,Fuentes,Aarnes,Encarnacin Fuentes Aarnes,Product Manager,Spain,PyTorch; TensorFlow; Natural Language Processing,Universidad Complutense de Madrid,Mobiliti Software
Amy,Gomez,Abadan,Amy Gomez Abadan,Data Scientist,United States,Java; Spring Framework,Massachusetts Institute of Technology,TechPro Inc.
Alena,Gomes,Abraham,Alena Gomes Abraham,Cybersecurity Analyst,Brazil,HTML; CSS; JavaScript,Universidade de S�o Paulo,DevOps Masters
Lillian,Banks,Abraham,Lillian Banks Abraham,Penetration Tester,United Kingdom,Python; R,University of Cambridge,AITech Solutions
Arlene,Stone,Abramovic,Arlene Stone Abramovic,Cybersecurity Analyst,Australia,R; SQL; Tableau,University of Sydney,Commonwealth Bank
Stephanie,Holzwarth,Abramovic,Stephanie Holzwarth Abramovic,Business Intelligence Analyst,Germany,Unity; Unreal Engine; C#,Technische Universit�t M�nchen,BlockchainGuru
Blanca,Ramrez,Adal,Blanca Ramrez Adal,IoT Developer,Spain,Cisco; Linux; Wireshark,Universidad Complutense de Madrid,Mobiliti Software
Alicia,Vatne,Adam,Alicia Vatne Adam,Data Engineering Specialist,Norway,Matplotlib; Pandas; Azure; Power BI,University of Oslo,AIResearchLab
Iida,Korhonen,Addy,Iida Korhonen Addy,Data Governance Specialist,Finland,AWS; Azure; Terraform,Aalto University,CyberSec Advisors
Helin,Kavli,Adiga,Helin Kavli Adiga,Product Manager,Norway,Splunk; Wireshark; Nmap,University of Oslo,AIResearchLab
Tea,Tokle,Aelmans,Tea Tokle Aelmans,Front-end Engineer,Norway,Qiskit; Cirq; Pennylane,University of Oslo,AIResearchLab
Jojanneke,Snoek,Aguirre,Jojanneke Snoek Aguirre,Serverless Architect,Netherlands,Network Security; Ethical Hacking; Kubernetes; Jenkins,Delft University of Technology,CyberShield Consulting
Freya,Jones,Aho,Freya Jones Aho,Frontend Developer,New Zealand,Java; Spring Framework,University of Auckland,TechPro Inc.
Emmie,Caron,Akaydin,Emmie Caron Akaydin,Front-end Engineer,France,Unity; Unreal Engine; C#,Universit� Paris-Saclay,DataHub Analytics
Elsa,Barbosa,Akyz,Elsa Barbosa Akyz,UI/UX Designer,Brazil,AWS; Azure; Terraform,Universidade de S�o Paulo,DevOps Masters
Sarah,Jensen,Albertsen,Sarah Jensen Albertsen,Machine Learning Engineer,Ireland,Qiskit; Cirq; Pennylane,University College Dublin,Commonwealth Bank
Ariana,Thomas,Alemn,Ariana Thomas Alemn,Network Administrator,New Zealand,SQL; Python; Node.js; MongoDB,University of Auckland,Commonwealth Bank
Mandy,Warren,Alemn,Mandy Warren Alemn,Web Developer,Ireland,ROS; Python; Control Theory,University College Dublin,Intellitech Innovations
Emma,Souza,Almeida,Emma Souza Almeida,Data Scientist,Brazil,Python; R,University of Sao Paulo,Natura
